,CT,ME,NEMA,NH,RI,SEMA,VT,WCMA
1910,3290.20,1268.50,2699.60,1048.00,859.40,1511.50,583.30,1842.10
1911,3298.00,1243.80,2721.40,1028.50,810.90,1513.20,544.50,1842.40
1912,3425.10,1261.40,2767.70,1052.50,814.10,1558.20,564.80,1887.90
1913,3572.20,1320.80,2855.00,1111.10,848.20,1668.80,612.40,1995.40
1914,3638.80,1336.00,2886.50,1149.30,889.10,1742.40,650.60,2056.80
1915,3680.70,1396.30,2857.30,1172.60,917.30,1736.70,718.60,2078.90
1916,3589.90,1285.90,2814.20,1155.10,921.50,1694.90,693.20,2004.50
1917,3325.20,1145.90,2665.00,1027.10,832.40,1596.00,618.90,1894.30
1918,3020.90,956.40,2454.90,854.40,715.20,1420.00,523.20,1717.90
1919,2737.50,851.90,2269.10,741.00,622.60,1255.60,477.30,1531.00
1920,2612.80,931.90,2078.90,954.40,650.80,1224.40,515.90,2272.70
1921,2469.20,900.60,2015.90,921.00,633.10,1187.90,502.00,2731.80
1922,2435.40,916.10,2002.40,911.80,619.90,1163.20,498.80,2705.10
1923,2442.20,857.30,2008.30,924.60,635.80,1182.10,496.50,2727.20
1924,2536.20,882.50,2078.10,950.50,672.00,1226.20,503.90,2514.50
1925,2770.50,898.20,2222.50,870.40,715.10,1333.00,523.80,2152.40
1926,3271.80,1045.90,2602.40,1090.50,881.70,1574.40,638.60,1884.90
1927,3662.00,1226.10,2830.60,1188.00,957.60,1665.00,709.90,2009.80
1928,3626.70,1218.90,2862.60,1203.80,969.10,1657.40,687.50,2011.00
1929,3582.10,1124.60,2876.80,1221.30,972.30,1643.30,646.40,2002.80
1930,3569.30,1057.70,2778.60,1220.10,962.20,1616.00,617.40,1970.40
1931,3550.20,1014.70,2803.70,1224.40,957.60,1620.70,588.30,1968.30
1932,3530.50,969.30,2789.80,1228.50,944.80,1606.70,571.80,1951.50
1933,3504.30,950.40,2778.00,1206.70,939.30,1592.40,555.50,1948.00
1934,3454.60,956.30,2766.80,1172.40,923.90,1583.80,543.60,1944.70
1935,3455.90,963.80,2743.10,1161.70,885.40,1588.90,543.90,1942.10
1936,3558.60,976.50,2841.80,1181.30,891.50,1622.00,589.50,1988.10
1937,3747.60,1057.90,2984.40,1217.10,932.90,1724.00,611.20,2098.40
1938,3925.60,1102.00,3069.80,1285.90,982.40,1845.80,667.30,2203.50
1939,4002.50,1163.90,3045.50,1316.20,1082.20,1911.90,713.00,2257.00
1940,3947.60,1088.40,2967.20,1304.10,1110.60,1877.40,719.20,2182.80
1941,3753.80,982.50,2882.40,1189.70,1044.20,1779.50,679.50,2088.40
1942,3434.70,751.00,2676.90,1061.80,916.70,1618.00,607.40,1921.70
1943,3125.90,687.80,2505.10,968.30,827.30,1448.60,557.90,1752.00
1944,2961.30,754.10,2384.10,1061.50,786.00,1423.00,534.60,1744.90
1945,2849.20,773.20,2332.00,1039.10,768.40,1380.80,518.00,1702.80
1946,2839.00,795.20,2306.90,1039.40,783.30,1373.90,506.30,1701.80
1947,2842.30,821.50,2328.00,1065.60,780.90,1373.70,535.80,1698.20
1948,2898.70,815.40,2382.20,1070.70,769.10,1391.40,529.50,1735.10
1949,3137.60,909.40,2580.90,1179.10,805.60,1491.90,575.50,1809.00
1950,3628.90,1069.20,2958.80,1151.80,975.30,1732.30,670.60,2087.40
1951,3862.70,1183.40,3160.60,1280.60,1064.80,1823.90,726.70,2239.60
1952,3819.10,1168.40,3138.30,1251.30,1021.10,1776.50,678.40,2164.40
1953,3715.50,1195.40,3042.50,1244.10,1013.30,1728.80,621.30,2120.10
1954,3697.00,1135.20,3039.50,1221.90,1008.10,1714.50,561.90,2073.90
1955,3614.00,1105.60,2969.80,1193.40,1001.20,1691.80,518.10,2042.70
1956,3532.50,1081.10,2917.30,1174.70,978.00,1646.90,510.60,2001.50
1957,3495.40,1058.70,2859.20,1149.40,968.20,1611.50,506.10,1975.20
1958,3412.10,979.70,2864.80,1102.30,947.60,1601.50,470.80,1941.30
1959,3397.10,986.50,2828.10,1086.80,917.50,1577.70,471.20,1922.10
1960,3468.70,1017.30,2898.90,1104.40,922.00,1633.00,520.90,1979.90
1961,3591.80,1192.20,3017.20,1176.00,957.60,1740.30,573.10,2094.20
1962,3758.30,1319.80,3049.80,1262.60,995.50,1838.10,648.60,2173.00
1963,3902.70,1382.60,3094.00,1289.90,1021.20,1883.20,698.20,2245.30
1964,3865.20,1338.00,3046.60,1273.50,1007.50,1850.20,715.90,2142.60
1965,3615.80,1214.70,2881.60,1134.50,944.10,1744.20,654.60,2038.50
1966,3328.70,1084.20,2677.30,1001.80,854.00,1588.80,580.40,1878.00
1967,3013.80,956.90,2487.00,900.30,786.00,1436.70,534.80,1711.10
1968,2871.60,935.00,2285.20,828.40,782.20,1355.20,531.10,1921.80
1969,2745.70,918.30,2197.30,794.30,754.40,1311.90,516.20,2118.00
1970,2733.40,878.90,2181.40,789.80,770.10,1288.80,506.70,2103.60
1971,2708.70,857.70,2185.70,785.40,730.10,1271.30,506.60,2358.60
1972,2783.30,896.60,2264.30,797.40,737.80,1309.30,532.60,2147.70
1973,2990.80,991.40,2429.10,934.10,781.00,1411.10,562.80,1743.70
1974,3496.90,1200.30,2802.60,1124.60,951.80,1643.60,648.30,2012.70
1975,3786.00,1334.60,3003.40,1247.50,1029.60,1721.60,709.80,2110.10
1976,3790.70,1340.60,3002.60,1223.80,985.30,1706.80,694.80,2087.00
1977,3651.70,1359.60,2989.40,1227.80,986.10,1680.00,695.50,2065.20
1978,3645.70,1305.50,2978.30,1215.50,987.40,1665.60,679.10,2048.20
1979,3608.20,1219.90,2973.90,1195.40,972.50,1640.20,648.80,2008.80
1980,3557.10,1179.40,2936.70,1177.20,968.30,1628.70,648.20,1988.10
1981,3514.50,1178.30,2878.40,1157.80,960.70,1606.70,648.20,1966.30
1982,3448.10,1095.20,2843.80,1121.70,933.60,1582.50,597.80,1939.30
1983,3393.40,1059.20,2857.90,1094.00,923.60,1581.90,590.50,1907.60
1984,3479.00,1032.50,2881.00,1124.70,939.70,1621.70,610.60,1952.20
1985,3539.50,1105.70,2927.50,1158.80,956.50,1696.30,624.80,2030.80
1986,3615.20,1176.40,2948.20,1180.60,963.20,1757.50,601.30,2075.50
1987,3634.00,1231.00,2957.70,1221.60,969.70,1778.40,674.30,2098.30
1988,3578.40,1201.20,2875.60,1163.40,929.20,1726.20,632.30,2026.20
1989,3378.30,1089.10,2683.90,1064.70,846.40,1596.70,578.90,1886.90
1990,3045.30,933.40,2469.40,900.80,753.60,1419.00,511.10,1698.80
1991,2738.60,787.00,2311.90,786.60,680.60,1281.60,471.90,1533.10
1992,2540.70,800.60,2050.40,758.40,629.50,1224.80,493.40,1715.70
1993,2420.30,794.30,1968.40,723.80,616.30,1176.60,482.50,1924.10
1994,2358.90,725.40,1943.40,694.40,598.50,1145.40,469.10,1882.00
1995,2319.40,707.10,1920.50,684.00,578.10,1129.50,457.60,1869.90
1996,2330.90,741.90,1955.80,690.60,589.30,1141.20,462.70,1887.70
1997,2456.30,809.00,2016.80,733.70,603.40,1183.10,450.20,1929.40
1998,2580.10,889.30,2129.70,646.20,630.30,1249.10,488.70,1782.10
1999,2806.70,1021.80,2273.00,823.00,703.60,1344.20,545.00,1612.00
2000,3001.60,1152.70,2399.00,901.80,789.80,1427.10,585.60,1706.20
2001,3171.50,1143.60,2466.60,919.70,828.10,1488.80,594.70,1774.00
2002,3234.00,1077.50,2487.80,898.50,834.40,1494.70,572.80,1776.90
2003,3186.90,1031.80,2516.70,867.00,833.00,1486.30,532.90,1771.90
2004,3117.10,987.90,2503.40,845.10,824.40,1463.80,535.90,1752.80
2005,3065.90,1037.70,2459.20,821.90,803.90,1449.70,531.70,1708.60
2006,3014.30,1079.70,2432.40,809.50,796.90,1439.10,531.40,1689.20
2007,2989.00,1054.60,2422.30,812.50,790.90,1433.10,537.90,1683.70
2008,3081.10,1049.90,2464.10,837.70,796.70,1412.00,561.20,1717.90
2009,3188.20,1076.80,2542.10,892.80,810.70,1467.00,579.60,1792.50
2010,3272.20,1116.50,2634.30,942.90,841.30,1535.30,629.40,1850.00
2011,3306.90,1110.40,2639.10,951.40,869.10,1623.70,626.50,1910.20
2012,3255.90,1139.70,2617.20,933.30,831.60,1557.70,651.30,1845.40
2013,3126.70,1046.80,2489.20,839.80,788.80,1482.40,599.90,1763.50
2014,2865.70,863.10,2332.50,869.20,710.90,1373.50,632.70,1631.60
2015,2666.70,865.10,2227.60,796.70,669.80,1258.70,605.40,1515.60
2016,2575.40,887.40,2104.00,777.50,690.00,1244.90,525.30,1784.70
2017,2461.00,850.40,2034.00,729.70,666.30,1191.90,503.40,1990.60
2018,2406.40,806.30,1988.40,701.00,647.20,1156.20,490.90,2206.20
2019,2388.80,832.10,1988.70,706.10,638.30,1149.60,488.60,2196.80
2020,2356.80,841.90,2004.60,714.30,646.20,1160.10,496.30,2204.10
2021,2446.90,852.00,2033.40,732.70,643.50,1173.30,490.30,2257.10
2022,2559.80,991.50,2133.50,644.40,670.00,1225.20,531.80,1820.50
2023,2749.20,1084.10,2245.30,750.20,739.60,1309.20,585.70,1882.10
2024,2932.70,1173.20,2360.30,832.90,800.20,1390.60,624.20,1703.60
2025,3056.00,1186.80,2423.80,865.90,821.20,1434.60,610.80,1736.00
2026,3126.80,1201.10,2479.00,879.40,842.20,1468.10,596.70,1762.20
2027,3136.20,1155.20,2516.10,861.60,850.60,1480.40,567.10,1759.40
2028,3138.50,1110.20,2520.90,847.50,848.10,1479.40,561.60,1745.40
2029,3087.00,1153.10,2503.20,831.00,854.60,1480.50,561.10,1731.30
2030,2995.20,1120.90,2475.70,792.70,839.60,1457.30,550.30,1692.90
2031,2992.00,1117.80,2468.10,798.20,828.60,1467.50,553.50,1680.70
2032,3097.70,1090.00,2512.80,846.40,831.20,1499.50,563.10,1731.20
2033,3212.60,1157.10,2609.00,916.90,851.30,1574.90,612.20,1825.20
2034,3327.10,1192.30,2669.30,969.30,891.60,1643.40,648.90,1894.00
2035,3425.80,1293.50,2746.80,990.20,929.90,1732.80,680.50,1976.50
2036,3369.10,1247.10,2716.40,944.90,894.20,1623.00,667.40,1894.30
2037,3181.60,1131.70,2556.50,845.10,826.50,1511.50,600.20,1793.50
2038,2878.20,961.80,2360.00,854.80,725.60,1357.70,512.70,1625.30
2039,2600.90,821.80,2152.00,724.30,607.40,1176.40,422.00,1695.90
2040,2535.60,930.50,2070.90,808.50,681.70,1217.30,496.20,1955.10
2041,2447.00,902.90,2006.40,775.20,655.60,1176.50,485.30,2206.90
2042,2416.20,884.60,1981.30,770.50,643.80,1153.00,477.20,2434.60
2043,2397.40,865.00,2011.20,757.80,645.90,1157.50,455.20,2446.20
2044,2460.20,921.40,2074.80,790.30,656.20,1192.80,463.60,1962.20
2045,2729.90,965.60,2227.80,1084.30,720.10,1295.70,500.40,1833.00
2046,3140.10,1190.40,2586.50,1280.20,827.30,1495.00,623.40,1824.50
2047,3424.30,1321.10,2786.60,1397.60,938.10,1633.50,664.50,1970.80
2048,3514.70,1347.10,2834.00,1434.30,959.50,1671.00,660.90,1997.90
2049,3520.30,1335.50,2846.20,1434.90,963.40,1636.30,632.30,1977.60
2050,3585.90,1363.30,2856.30,1093.80,986.10,1663.20,624.50,2024.40
2051,3536.50,1326.90,2874.90,1094.00,987.80,1648.10,612.40,2003.90
2052,3494.60,1265.80,2851.80,1066.10,967.40,1611.50,592.70,1952.40
2053,3442.30,1275.00,2808.70,1053.00,948.00,1595.30,598.50,1930.30
2054,3371.80,1264.90,2788.10,1039.40,920.60,1550.50,598.20,1888.90
2055,3376.40,1250.10,2783.60,1035.70,906.30,1548.60,596.20,1913.60
2056,3444.70,1206.50,2834.30,1072.20,914.20,1581.30,605.30,1959.90
2057,3534.00,1272.40,2866.80,1320.20,943.70,1647.60,674.60,2017.90
2058,3607.70,1296.90,2855.10,1330.40,960.80,1706.30,690.00,2060.60
2059,3618.50,1326.70,2900.50,1321.80,973.90,1736.10,702.10,2063.60
2060,3569.40,1277.40,2855.10,1283.30,933.00,1697.90,685.30,2009.20
2061,3293.10,1129.70,2647.90,1145.20,839.20,1575.40,629.20,1873.70
2062,2980.60,958.50,2389.70,930.50,753.00,1380.30,544.30,1706.90
2063,2641.40,840.40,2223.50,825.00,671.30,1230.30,499.20,1542.70
2064,2508.90,943.70,2084.10,808.90,689.20,1233.40,503.90,2010.60
2065,2398.50,944.10,2005.50,781.90,665.80,1194.30,493.50,2215.00
2066,2345.40,912.50,1978.10,751.40,642.90,1150.40,484.40,2416.50
2067,2331.80,919.40,1993.10,768.20,629.10,1146.00,483.80,2419.30
2068,2399.80,998.50,2037.60,808.80,650.60,1188.20,493.50,2211.50
2069,2653.10,1093.60,2203.10,911.80,704.30,1297.80,538.50,2082.60
2070,3148.90,1303.60,2554.50,1104.20,850.10,1520.70,636.40,1839.00
2071,3434.60,1424.10,2778.20,1201.90,934.90,1655.10,685.20,1985.50
2072,3472.60,1373.70,2851.20,1199.60,953.80,1648.60,655.60,1994.20
2073,3452.30,1370.90,2855.10,1194.70,937.80,1620.50,638.50,1937.80
2074,3503.90,1383.30,2835.50,1042.80,961.00,1622.40,635.50,1955.40
2075,3461.30,1378.50,2819.30,1038.70,963.10,1602.90,615.30,1945.50
2076,3397.10,1350.80,2805.30,1011.20,930.20,1555.80,605.10,1867.40
2077,3343.40,1345.50,2798.20,998.30,904.50,1512.70,607.20,1858.20
2078,3312.20,1326.50,2808.30,979.80,903.70,1509.30,611.30,1838.40
2079,3316.00,1301.80,2805.40,980.40,892.90,1515.10,612.70,1821.90
2080,3434.60,1261.00,2835.90,994.40,895.10,1538.10,599.60,1842.80
2081,3523.40,1325.20,2897.70,1184.60,918.30,1619.00,640.80,1915.00
2082,3573.70,1377.10,2922.40,1228.10,940.30,1702.00,658.30,1975.60
2083,3638.00,1390.40,2894.40,1254.70,986.90,1769.00,678.50,2050.90
2084,3526.80,1361.40,2860.20,1221.20,961.80,1725.20,682.90,1982.10
2085,3265.70,1231.30,2666.80,1103.60,872.30,1584.80,631.10,1836.10
2086,2951.50,1081.40,2453.30,968.50,788.70,1422.30,571.00,1677.40
2087,2627.90,961.50,2257.70,856.20,705.10,1271.70,525.20,1516.60
2088,2476.50,949.20,2067.40,984.20,673.30,1228.40,495.40,2014.30
2089,2370.50,941.60,1988.20,949.60,657.80,1179.50,477.80,2211.70
2090,2315.50,928.60,1931.60,916.70,619.10,1130.30,470.80,2413.30
2091,2320.30,923.70,1969.50,941.00,634.90,1147.90,470.20,2439.90
2092,2381.80,976.40,2007.90,982.80,648.70,1180.00,493.50,2234.40
2093,2673.90,1091.60,2201.20,1094.60,702.30,1299.30,525.50,1807.40
2094,3092.10,1284.70,2550.70,1293.20,828.30,1510.30,608.60,1819.60
2095,3394.00,1349.50,2740.70,1376.60,934.50,1656.30,660.30,1978.00
2096,3397.60,1347.90,2795.10,1378.30,947.10,1641.40,649.20,1974.60
2097,3346.30,1293.90,2785.30,1359.30,926.00,1611.30,600.90,1908.90
2098,3349.10,1299.80,2767.30,1363.30,940.90,1592.30,593.90,1893.40
2099,3303.20,1276.00,2692.40,1345.00,909.50,1534.50,570.00,1839.50
2100,3263.30,1186.20,2666.00,1312.10,893.70,1500.40,546.10,1817.90
2101,3238.60,1099.80,2622.30,1299.80,885.60,1468.40,525.10,1798.20
2102,3184.40,1082.90,2598.00,1275.80,855.70,1446.20,484.80,1775.70
2103,3203.00,1098.30,2603.80,1285.20,855.40,1437.10,515.30,1789.70
2104,3292.60,1118.40,2638.10,1313.10,848.00,1453.40,532.70,1818.10
2105,3448.70,1206.30,2834.20,1402.70,904.50,1575.30,608.10,1937.60
2106,3569.20,1273.30,2852.30,1439.90,929.70,1658.40,626.50,2008.10
2107,3586.80,1322.60,2852.40,1460.20,969.00,1746.40,637.50,2071.90
2108,3563.10,1121.50,2833.00,1390.70,978.00,1738.80,650.40,2041.10
2109,3319.40,1052.10,2660.30,1312.30,895.40,1625.10,620.50,1912.70
2110,3021.40,860.10,2423.50,1148.30,783.30,1424.20,540.30,1732.40
2111,2717.50,783.30,2265.50,1042.90,676.10,1276.50,495.70,1560.50
2112,2607.50,796.50,2091.40,775.20,676.20,1233.30,493.50,1761.10
2113,2506.40,784.50,2027.10,743.80,657.80,1191.20,479.20,1970.80
2114,2473.40,783.50,1984.80,719.30,637.90,1164.60,473.90,1914.80
2115,2474.90,792.20,2004.00,742.00,656.90,1181.20,475.10,1936.40
2116,2547.70,826.70,2068.00,775.30,670.50,1221.00,481.10,1963.00
2117,2793.50,938.70,2245.90,893.10,731.80,1331.70,532.00,1631.60
2118,3232.10,1218.60,2607.10,1270.20,869.00,1563.20,594.40,1899.50
2119,3510.60,1316.30,2781.40,1375.60,964.10,1689.10,636.50,2000.80
2120,3526.70,1270.20,2823.40,1373.40,945.10,1653.90,586.50,1939.60
2121,3440.50,1204.80,2773.40,1329.80,935.10,1602.90,538.90,1958.70
2122,3402.90,1238.90,2693.50,1343.60,908.00,1542.80,533.40,1887.40
2123,3372.60,1206.40,2668.50,1336.10,904.10,1522.30,500.90,1874.10
2124,3315.90,1165.20,2658.80,1311.50,875.10,1468.30,469.20,1823.20
2125,3300.40,1160.80,2647.30,1309.30,880.50,1466.10,475.30,1823.10
2126,3224.10,1108.20,2600.20,1279.90,841.30,1448.90,457.00,1793.00
2127,3232.10,1100.40,2597.80,1261.20,839.10,1459.10,458.30,1795.00
2128,3274.20,1095.20,2619.30,1284.30,826.50,1480.90,454.70,1826.60
2129,3415.40,1127.10,2772.10,1313.00,855.40,1581.00,526.70,1917.80
2130,3509.30,1169.10,2811.30,1375.30,885.40,1657.90,551.90,1994.20
2131,3554.90,1334.00,2839.90,1443.70,908.80,1721.40,624.40,2039.50
2132,3533.00,1271.30,2839.30,1405.10,896.80,1715.60,644.20,1988.20
2133,3331.60,1181.90,2652.90,1294.50,852.10,1606.60,592.60,1891.80
2134,3055.70,1004.40,2438.30,948.50,774.70,1469.90,541.30,1745.70
2135,2721.00,915.30,2271.00,823.90,692.80,1323.70,500.20,1572.70
2136,2577.10,936.40,2068.90,753.80,691.40,1246.10,526.60,1508.50
2137,2415.90,925.80,2000.00,725.10,671.00,1199.90,517.60,1469.50
2138,2374.30,922.60,1966.00,713.00,661.90,1181.80,510.30,1453.40
2139,2372.70,933.80,1967.50,719.10,658.20,1180.20,510.10,1454.00
2140,2440.70,963.80,2012.00,737.90,654.70,1187.80,512.70,1480.20
2141,2704.60,1076.10,2197.10,849.50,728.40,1312.50,567.30,1620.70
2142,3163.80,1249.90,2532.50,1021.00,835.50,1505.30,640.70,1844.20
2143,3503.40,1386.30,2751.30,1130.80,920.10,1634.10,712.90,1990.30
2144,3543.20,1384.20,2842.20,1149.50,949.30,1652.20,700.10,2008.50
2145,3551.80,1411.70,2845.40,1150.60,986.60,1665.30,675.70,2030.60
2146,3674.50,1376.30,2867.60,1157.70,1025.20,1710.10,648.80,2076.30
2147,3683.10,1356.00,2872.40,1152.10,1039.90,1726.60,633.80,2081.60
2148,3654.20,1318.20,2856.70,1137.00,1028.00,1702.50,615.40,2065.70
2149,3635.20,1287.90,2851.60,1120.00,1028.70,1702.00,580.50,2054.10
2150,3593.30,1308.00,2833.80,1117.40,1017.80,1703.50,589.80,2057.60
2151,3575.80,1306.70,2823.60,1119.80,1008.20,1694.70,591.20,2051.10
2152,3628.30,1280.20,2841.20,1136.00,1003.20,1708.00,612.70,2066.20
2153,3681.10,1270.20,2901.00,1138.70,1006.70,1734.60,621.90,2120.70
2154,3735.90,1349.80,2870.70,1194.40,1003.20,1782.00,665.60,2169.60
2155,3717.00,1402.10,2884.40,1197.70,994.10,1791.50,717.80,2153.00
2156,3601.80,1351.40,2830.90,1158.70,968.20,1715.80,720.70,2020.20
2157,3403.70,1190.60,2663.50,1053.70,907.90,1623.20,638.90,1908.80
2158,3152.00,1063.50,2478.90,928.90,825.60,1486.40,576.10,1755.20
2159,2851.80,993.70,2316.00,828.60,757.90,1360.00,539.60,1597.40
2160,2606.10,967.40,2083.80,994.10,735.70,1292.30,519.40,1569.40
2161,2474.90,946.50,2002.10,958.20,706.20,1237.70,503.40,1507.50
2162,2397.60,934.20,1954.60,930.20,699.90,1216.00,491.20,1473.30
2163,2340.60,930.80,1930.40,928.50,661.60,1189.50,486.90,1435.30
2164,2350.40,945.20,1945.30,932.50,674.20,1199.30,495.40,1449.30
2165,2421.80,991.60,2008.70,972.70,691.60,1234.50,515.70,1486.30
2166,2568.70,1075.40,2122.90,1043.00,707.90,1307.60,546.80,1560.60
2167,2836.00,1154.20,2271.50,1145.60,759.10,1393.60,566.20,1659.40
2168,3065.60,1187.70,2449.60,1248.90,865.30,1562.90,594.90,1827.40
2169,3245.90,1270.60,2528.60,1333.10,926.20,1638.50,621.80,1913.10
2170,3319.40,1281.60,2567.40,1345.10,961.40,1653.20,610.80,1922.10
2171,3326.80,1290.20,2603.80,1342.70,975.80,1620.00,593.30,1913.70
2172,3282.90,1280.70,2601.20,1354.20,975.20,1637.90,550.30,1931.30
2173,3221.70,1259.20,2558.40,1304.40,959.10,1606.40,554.30,1895.10
2174,3180.20,1272.00,2524.00,1281.70,931.50,1566.60,556.80,1847.50
2175,3098.70,1260.80,2512.90,1279.70,909.40,1521.00,562.80,1841.60
2176,3153.00,1258.20,2535.30,1286.40,881.30,1541.60,563.90,1855.70
2177,3237.10,1278.20,2636.30,1328.90,905.30,1584.70,605.00,1921.70
2178,3362.80,1283.00,2637.90,1359.10,912.00,1636.40,623.60,1959.40
2179,3372.60,1317.00,2681.30,1373.60,927.60,1712.80,647.60,1985.00
2180,3284.30,1296.90,2667.30,1336.20,923.80,1659.80,647.20,1898.90
2181,3110.20,1204.00,2533.30,1249.40,888.80,1579.00,619.00,1812.80
2182,2919.30,1078.90,2380.10,1121.90,829.10,1467.10,572.40,1694.80
2183,2673.00,994.30,2212.20,1027.20,758.90,1343.70,528.50,1561.90
2184,2538.00,900.70,2104.20,960.30,722.60,1269.10,492.00,1552.60
2185,2434.80,876.20,2022.00,861.40,717.60,1221.10,437.70,1752.20
2186,2384.20,870.10,1965.80,848.20,686.90,1193.40,422.00,1978.40
2187,2333.20,861.20,1929.20,857.00,664.80,1168.40,425.40,1951.80
2188,2340.70,874.90,1938.60,849.20,675.50,1186.00,429.90,1950.70
2189,2400.10,946.00,1993.80,895.40,690.40,1214.30,464.70,1738.40
2190,2515.20,979.70,2094.00,944.60,689.30,1257.30,454.10,1791.40
2191,2679.10,1092.40,2194.90,1043.80,732.70,1316.20,492.50,1616.80
2192,2830.90,1215.20,2310.40,1140.20,802.50,1404.10,557.70,1682.30
2193,2941.60,1221.20,2348.70,1176.00,836.70,1431.20,551.10,1719.30
2194,2986.00,1211.50,2375.40,1180.40,847.30,1428.80,553.60,1719.10
2195,2986.80,1212.60,2434.10,1169.80,831.70,1410.00,536.00,1696.00
2196,2950.00,1162.50,2388.40,1151.80,779.10,1399.40,513.00,1681.60
2197,2896.50,1094.50,2409.10,1112.00,765.00,1373.80,489.00,1646.30
2198,2823.00,1059.60,2355.10,1100.20,754.40,1362.10,489.10,1623.70
2199,2819.50,1025.50,2337.60,1106.90,741.40,1336.90,497.40,1627.20
2200,2896.40,1053.40,2416.90,1119.40,745.00,1385.40,488.80,1678.00
2201,2985.30,1116.70,2520.00,1174.70,767.40,1468.20,541.60,1768.00
2202,3104.60,1142.50,2573.80,1208.30,795.70,1539.30,571.90,1831.90
2203,3220.20,1226.10,2623.70,1260.60,863.60,1621.10,628.90,1882.20
2204,3202.80,1191.40,2606.30,1251.60,867.70,1599.50,637.00,1843.30
2205,3003.10,1071.70,2450.70,1176.30,831.10,1497.20,597.40,1743.60
2206,2786.80,917.50,2287.70,1019.00,766.70,1385.70,516.40,1618.00
2207,2533.70,828.60,2128.70,919.90,697.90,1262.80,475.60,1490.90
2208,2426.60,848.90,2017.40,937.20,656.70,1193.10,484.90,2009.00
2209,2334.30,829.80,1962.50,908.50,650.00,1159.90,461.50,2225.10
2210,2297.10,807.70,1956.00,876.20,625.80,1145.30,456.60,2459.90
2211,2303.90,804.10,1969.60,859.40,637.70,1146.20,449.60,2466.40
2212,2379.90,870.20,2038.90,892.70,662.10,1196.60,471.90,2269.50
2213,2647.30,1020.00,2220.70,1081.90,740.70,1315.00,529.10,1887.80
2214,3090.10,1198.60,2535.10,1218.30,835.40,1523.30,563.80,1857.70
2215,3380.70,1313.20,2765.60,1341.50,947.40,1652.80,576.20,2000.10
2216,3355.00,1398.80,2766.30,1385.00,948.70,1624.20,593.50,2004.90
2217,3305.10,1360.00,2723.10,1352.20,933.00,1581.90,531.40,1919.80
2218,3275.20,1317.80,2633.60,1315.80,920.80,1545.60,491.90,1891.80
2219,3234.10,1309.00,2634.80,1282.10,915.60,1519.80,467.40,1870.50
2220,3186.50,1284.50,2612.50,1266.80,864.00,1490.70,464.00,1846.70
2221,3147.10,1253.60,2572.70,1243.90,864.70,1478.40,451.20,1834.70
2222,3088.80,1216.60,2526.70,1232.90,856.70,1461.40,446.50,1803.40
2223,3078.60,1209.00,2540.90,1202.30,836.70,1439.20,457.00,1807.50
2224,3147.50,1235.10,2607.40,1234.40,830.60,1480.40,468.70,1836.80
2225,3242.50,1277.50,2743.90,1344.10,851.80,1553.90,560.00,1928.50
2226,3392.00,1299.30,2755.50,1400.30,879.40,1638.50,616.90,1989.80
2227,3458.50,1355.50,2809.90,1407.60,951.60,1721.80,646.60,2043.00
2228,3464.50,1317.40,2784.70,1356.70,985.70,1740.20,653.90,1981.50
2229,3206.50,1183.70,2625.70,1269.80,848.90,1568.30,624.40,1875.90
2230,2904.50,1027.00,2393.40,1099.00,743.30,1402.80,526.20,1713.70
2231,2569.40,911.90,2168.70,966.60,663.70,1261.20,461.10,1545.90
2232,2382.30,900.00,2006.20,966.50,684.90,1227.60,471.50,2524.80
2233,2270.90,883.70,1926.50,933.30,672.60,1179.00,455.70,2727.30
2234,2203.10,885.90,1909.60,875.70,629.50,1151.70,449.30,2699.60
2235,2184.70,884.90,1916.90,877.60,645.60,1132.80,442.40,2685.30
2236,2273.70,924.70,1975.90,954.20,669.60,1169.20,464.90,2728.80
2237,2519.60,1041.90,2151.10,1089.80,703.20,1295.70,518.20,2345.60
2238,3005.90,1224.40,2506.70,1251.10,821.40,1510.10,594.00,1825.40
2239,3334.00,1327.10,2719.70,1386.90,927.60,1642.00,600.60,1973.70
2240,3395.70,1354.50,2774.30,1399.40,967.80,1655.80,629.10,1985.60
2241,3405.30,1337.10,2830.80,1426.30,998.00,1667.10,615.10,1992.00
2242,3398.20,1332.80,2882.40,1448.70,1015.00,1667.70,586.60,2010.70
2243,3406.90,1342.10,2908.70,1470.50,1036.20,1675.70,609.40,2026.30
2244,3391.00,1323.10,2888.00,1483.90,1026.00,1662.30,602.70,2011.10
2245,3389.20,1283.60,2850.30,1469.20,1031.10,1658.10,601.60,2009.40
2246,3343.60,1199.80,2839.00,1425.40,1005.70,1645.70,587.00,1992.30
2247,3366.50,1160.00,2859.40,1428.00,999.40,1651.80,605.00,2009.60
2248,3409.60,1223.20,2882.40,1437.10,965.20,1684.00,620.40,2031.90
2249,3506.90,1272.80,2933.20,1493.50,968.40,1718.10,623.20,2094.10
2250,3575.30,1286.60,2914.00,1492.30,962.20,1735.20,635.80,2058.60
2251,3623.20,1326.60,2938.40,1489.20,982.40,1745.00,643.50,2137.10
2252,3537.30,1286.50,2849.90,1430.10,963.20,1723.40,639.40,2047.10
2253,3232.60,1129.90,2661.90,1323.40,905.10,1607.40,597.70,1904.80
2254,2935.40,945.20,2425.30,1139.40,802.80,1437.70,513.30,1663.80
2255,2605.50,857.60,2181.30,1027.80,729.60,1298.50,480.20,1531.50
